Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,latitude,longitude
Fonden Huset Scheving,"Skovbakken 29A
    

    8766 Nørre Snede","Godkendt
        04-03-2024","457,92 - 725,04 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","10 - Aktivitets- og samværstilbud, § 104
                
            
                
                    5 - Botilbud til længerevarende ophold, § 108
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107","10 pladser -
                Kontakt afdelingen om ledige pladser",Lars Nørgaard,kontakt@husetscheving.dk,93880435,,,,,,,,,,,55.95834,9.394676
Vejgården Det Socialpædagogiske opholdssted,"Skovballevej 125
    

    5700 Svendborg","Godkendt
        07-11-2024","2.038,13 - 2.049,56 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 pladser -
            ingen ledige",Birgit Jensen,birgitvejgaarden@gmail.com,20249146,,,,,,,,,,,54.972076,10.552598
Bo-enheden Skovdiget,"Skovdiget 223
    

    2880 Bagsværd","Godkendt
        04-11-2024","0 - 3.072,83 kr.","Botilbud til længerevarende ophold, § 108","6 - Botilbud til længerevarende ophold, § 108","6 pladser -
            ingen ledige",Henrik Bohm,henboh@gladsaxe.dk,50159015,,,,,,,,,,,55.75984,12.417263
Gribskov Bo- og Støttecenter afd Ahornparken,"Skovgårdsvej 38
    

    3200 Helsinge","Godkendt
        11-06-2024","0 - 4.337,43 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","29 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","29 pladser -
            ingen ledige",Kirsten Poulsen,kpoul@gribskov.dk,72496722,,,,,,,,,,,56.01662,12.183448
Bofællesskabet Hasselager (Bofællesskabet i Aarhus Syd),"Skovhøj 1E
    

    8361 Hasselager","Godkendt
        17-01-2025",527 - 527 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","22 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","22 pladser -
            ingen ledige",Bente Helweg-Mikkelsen,cbb@msb.aarhus.dk,41855512,3.401.000 kr.,83.000 kr.,31.380 kr.,2.189.600 kr.,30.110 kr.,,"2,44 %","70,79 %","2,85 %",29 %,56.112124,10.098105
Ungetilbud Skovhusevej - Autisme (Autismetilbud Vordingborg),"Skovhusevej 5
    

    4773 Stensved","Godkendt
        01-11-2024",3.694 - 4.487 kr.,"Botilbud til midlertidige ophold, § 107","7 - Botilbud til midlertidige ophold, § 107","7 pladser -
            ingen ledige",Karsten Johansen,kaoj@vordingborg.dk,29280542,92.828.440 kr.,-478.873 kr.,1.375.080 kr.,68.007.478 kr.,7.958.039 kr.,,"-0,52 %","86,9 %","2,75 %","25,83 %",54.996669,12.030592
Skovmosen,"Skovmosen 8
    

    3450 Allerød","Godkendt med vilkår
        11-03-2025","2.919,59 - 2.919,59 kr.","Botilbud til midlertidige ophold, § 107","14 - Botilbud til midlertidige ophold, § 107",ingen ledige,Johan Banach,jgrd@alleroed.dk,29336743,,,,,,,,,,,55.842747,12.34251
SputnikKollegiet Virum,"Skovridergårdsvej 23 9
    

    2830 Virum","Godkendt
        06-11-2024","1.466,3 - 1.466,3 kr.","Botilbud til midlertidige ophold, § 107","23 - Botilbud til midlertidige ophold, § 107","23 pladser -
                Kontakt afdelingen om ledige pladser",Thomas Munk,tmu@skolensputnik.dk,61276111,,,,,,,,,,,55.799988,12.4734725
Støttecenter Skovsbovej (Boområde Midt-Vest),"Skovsbovej 103A
    

    5700 Svendborg","Godkendt
        23-04-2025",416 - 6.924 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 pladser -
            ingen ledige",Marco Bellacci,marco.rohmer.bellacci@svendborg.dk,21706472,10.385.488 kr.,22.266 kr.,156.187 kr.,7.081.347 kr.,835.732 kr.,,"0,21 %","84,45 %","6,5 %","9,52 %",55.052593,10.571283
SKOVBAKKEN (BIRKEBAKKEN),"Skovvej 39
    

    8620 Kjellerup","Godkendt
        01-07-2024","5.570,41 - 6.953,71 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 - Botilbud til midlertidige ophold, § 107
                
            
                
                    6 - Aktivitets- og samværstilbud, § 104
                
            
                
                    3 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 pladser -
                Kontakt afdelingen om ledige pladser",Allan Borresen,forstander@birkebakken.dk,53716026,25.256.641 kr.,-315.720 kr.,351.277 kr.,13.778.765 kr.,5.127.043 kr.,"-75,88 %","-1,25 %","81,09 %","5,54 %","23,68 %",56.290732,9.334292
Huset Skovvej,"Skovvej 68
    

    2750 Ballerup","Godkendt
        07-10-2024","3.982,95 - 5.016,13 kr.","Botilbud til midlertidige ophold, § 107","5 - Botilbud til midlertidige ophold, § 107","5 pladser -
                Kontakt afdelingen om ledige pladser",AbderRahim Elidrissi,tilbudsleder@socialindsatsen.dk,41448080,,,,,,,,,,,55.746426,12.36833
Better Life Botilbud Store Heddinge,"Skovvejen 10
    

    4660 Store Heddinge","Godkendt
        15-11-2024","587,66 - 10.039,9 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","6 - Aktivitets- og samværstilbud, § 104
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Botilbud til længerevarende ophold, § 108","2 pladser -
                Kontakt afdelingen om ledige pladser",Frank Carsten Lund,kontakt@betterlife85.dk,61150085,,,,,,,,,,,55.312182,12.364972
Botilbud Skrænten,"Skrænten 25D
    

    6400 Sønderborg","Godkendt
        11-03-2025",740 - 1.126 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","42 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","42 pladser -
                Kontakt afdelingen om ledige pladser",Dorte Snitgaard Petersen,dspe@sonderborg.dk,27908293,,,,,,,,,,,54.91246,9.777593
HabitusHuset Skyumvej (HabitusHuset Sct. Mortensgaard),"Skyumvej 111
    

    7752 Snedsted","Godkendt
        08-11-2024","21.205,51 - 21.205,51 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
            ingen ledige",Elizabeth Haizmann Bergstrøm,ehb@habitus.dk,20610241,,,,,,,,,,,56.83938,8.590001
Sorø (Granhøjen Midtsjælland),"Slagelsevej 112
    

    4180 Sorø","Godkendt
        22-01-2025","2.446,06 - 2.446,06 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    13 - Botilbud til længerevarende ophold, § 108","13 pladser -
                Kontakt afdelingen om ledige pladser",Eva Maria Albæk,botilbud@grh.dk,59932301,60.704.349 kr.,-2.715.654 kr.,3.570.041 kr.,24.984.027 kr.,3.091.247 kr.,"20,16 %","-4,47 %","58,42 %","16,26 %","17,1 %",55.440368,11.519004
Ravnshøj Botilbud m/nattevagt (ØSTAGERGÅRD),"Slettebjergvej 21
    

    4174 Jystrup Midtsj","Godkendt
        05-02-2025","1.484 - 3.137,7 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","6 - Botilbud til længerevarende ophold, § 108
                
            
                
                    3 - Botilbud til midlertidige ophold, § 107","3 pladser -
            ingen ledige",Hans Carsten Hansen,post@oestagergaard.dk,57528814,38.960.026 kr.,2.791.248 kr.,1.580.228 kr.,19.429.944 kr.,1.016.917 kr.,67 %,"7,16 %","62,84 %","9,55 %",9 %,55.518831,11.879091
Østagergård Botilbud Slettebjergvej 21 m/nattevagt (ØSTAGERGÅRD),"Slettebjergvej 21
    

    4174 Jystrup Midtsj","Godkendt
        05-02-2025","823,62 - 2.902,46 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","5 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    23 - Botilbud til midlertidige ophold, § 107","23 pladser -
                Kontakt afdelingen om ledige pladser",Hans Carsten Hansen,post@oestagergaard.dk,57528814,38.960.026 kr.,2.791.248 kr.,1.580.228 kr.,19.429.944 kr.,1.016.917 kr.,67 %,"7,16 %","62,84 %","9,55 %",9 %,55.518831,11.879091
Bofællesskabet Krabben,"Slettestrandvej 6
    

    9690 Fjerritslev","Godkendt
        14-02-2025","1.616,34 - 6.651,5 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","22 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","22 pladser -
                Kontakt afdelingen om ledige pladser",Louise Eskebjerg,lls@jammerbugt.dk,41911813,,,,,,,,,,,57.136639,9.356109
Ungehuset Falster,"Smalbyvej 1
    

    4800 Nykøbing F","Godkendt
        23-08-2024","1.879,38 - 1.887,01 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 - Botilbud til midlertidige ophold, § 107
                
            
                
                    10 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","10 pladser -
            ingen ledige",Jane Jacobsen,jane@ungehusetfalster.dk,20602783,,,,,,,,,,,54.801696,11.890106
Netværket Smedegade S/I,"Smedegade 43B
    

    4200 Slagelse","Godkendt med vilkår
        30-04-2025","245,74 - 2.348,61 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","13 - Botilbud til længerevarende ophold, § 108
                
            
                
                    13 - Botilbud til midlertidige ophold, § 107","13 pladser -
                Kontakt afdelingen om ledige pladser",Gittemari Sofia Krogh,gitte@ns47.dk,41876591,,,,,,,,,,,55.406229,11.361267
Bofællesskabet Varebørsen,"Smedekrogen 17
    

    5550 Langeskov","Godkendt
        09-02-2024",951 - 1.331 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
            ingen ledige",Susanne Kjær Christensen,susc@kerteminde.dk,20366143,,,,,,,,,,,55.359076,10.592561
Villa Alba (Maglesøhus),"Smedelundsgade 31D
    

    4300 Holbæk","Godkendt
        03-04-2024","3.364,5 - 3.364,5 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","4 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    3 - Botilbud til midlertidige ophold, § 107","3 pladser -
                Kontakt afdelingen om ledige pladser",Pia Rolander,pia@maglesoehus.dk,31187690,22.582.943 kr.,2.191.844 kr.,1.049.301 kr.,10.771.203 kr.,849.480 kr.,47 %,"9,71 %","64,58 %","7,5 %",8 %,55.714406,11.716511
Villa Cornelia (Maglesøhus),"Smedelundsgade 31D
    

    4300 Holbæk","Godkendt
        03-04-2024","2.473,29 - 2.473,29 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107","2 pladser -
                Kontakt afdelingen om ledige pladser",Pia Rolander,pia@maglesoehus.dk,31187690,22.582.943 kr.,2.191.844 kr.,1.049.301 kr.,10.771.203 kr.,849.480 kr.,47 %,"9,71 %","64,58 %","7,5 %",8 %,55.714406,11.716511
Botilbud Smedestræde (Vinklen §107 CSBB),"Smedestræde 2
    

    2500 Valby","Godkendt
        07-04-2025",930 - 1.680 kr.,"Botilbud til midlertidige ophold, § 107","23 - Botilbud til midlertidige ophold, § 107","23 pladser -
            ingen ledige",Susanne Inger Wolfsberg,hl72@kk.dk,26816667,20.093.909 kr.,-1.152.646 kr.,0 kr.,9.479.191 kr.,671.003 kr.,,"-5,74 %","54,39 %","22,62 %",28 %,55.66662,12.515447
Alora ApS - Snedkervænget (Alora ApS),"Smedevej 15
    

    4840 Nørre Alslev","Godkendt
        31-01-2025","5.051,43 - 10.363,3 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","3 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","3 pladser -
                Kontakt afdelingen om ledige pladser",Carl Elmelund,Carl@alora.dk,42707010,495.283 kr.,-206.157 kr.,8.000 kr.,115.386 kr.,14.707 kr.,-21 %,"-41,62 %","62,76 %","29,43 %",0 %,54.889025,11.890086
Alora ApS - Skovvejen (Alora ApS),"Smedevej 15
    

    4840 Nørre Alslev","Godkendt
        31-01-2025","5.051,43 - 10.363,3 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","0 pladser -
            ingen ledige",Carl Elmelund,Carl@alora.dk,42707010,495.283 kr.,-206.157 kr.,8.000 kr.,115.386 kr.,14.707 kr.,-21 %,"-41,62 %","62,76 %","29,43 %",0 %,54.889025,11.890086
HOS Novahuse (HOS Hjem),"Søbæksparken 10F
    

    4450 Jyderup","Godkendt
        17-03-2025","5.785,06 - 11.569,16 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","5 pladser -
                Kontakt afdelingen om ledige pladser",Mia Alfred Andersen,visitation@hjemogskole.dk,71742707,51.187.571 kr.,2.447.090 kr.,0 kr.,29.530.619 kr.,2.940.856 kr.,"34,4 %","4,78 %","65,36 %","9,6 %",22 %,55.656457,11.401328
Søbæk Have 18C (Søbæk Have 18B),"Søbæksvej 30
    

    4450 Jyderup","Godkendt med skærpet tilsyn
        06-03-2025",309 - 5.701 kr.,"Botilbud til længerevarende ophold, § 108","4 - Botilbud til længerevarende ophold, § 108","4 pladser -
                Kontakt afdelingen om ledige pladser",Jennie Rathmann Hee,jenh@holb.dk,72361548,21.644.797 kr.,-761.082 kr.,1.787.252 kr.,13.139.193 kr.,2.642.750 kr.,,"-3,52 %","84,84 %","2,55 %","24,24 %",55.652641,11.398754
Søbæk Have 18B,"Søbæksvej 30
    

    4450 Jyderup","Godkendt med skærpet tilsyn
        06-03-2025",309 - 3.785 kr.,"Botilbud til midlertidige ophold, § 107","6 - Botilbud til midlertidige ophold, § 107","6 pladser -
                Kontakt afdelingen om ledige pladser",Jennie Rathmann Hee,jenh@holb.dk,72361548,21.644.797 kr.,-761.082 kr.,1.787.252 kr.,13.139.193 kr.,2.642.750 kr.,,"-3,52 %","84,84 %","2,55 %","24,24 %",55.652641,11.398754
Villa Søborg,"Søborg Søvej 4
    

    3250 Gilleleje","Godkendt
        20-12-2024","5.867,1 - 5.867,1 kr.","Botilbud til midlertidige ophold, § 107","4 - Botilbud til midlertidige ophold, § 107","4 pladser -
                Kontakt afdelingen om ledige pladser",Mahmoud Chemu,Mc@Inayah.dk,26128383,,,,,,,,,,,56.083422,12.319854
HIMMELEV - et behandlingstilbud til børn og unge,"Sofie Madsens Vej 5
    

    4330 Hvalsø","Godkendt
        13-03-2025",4.618 - 7.196 kr.,"Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","20 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107","4 pladser -
            ingen ledige",Jesper Thor Olsen,jtos@regionsjaelland.dk,47329500,,,,,,,,,,,55.586982,11.861615
Bo- og aflastningstilbuddet Tankefuld,"Sofielund Skovvej 180
    

    5700 Svendborg","Godkendt
        28-10-2024",3.852 - 4.659 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","6 - Botilbud til midlertidige ophold, § 107
                
            
                
                    10 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","6 pladser -
                Kontakt afdelingen om ledige pladser",Anette Nielsen,anette.nielsen@svendborg.dk,4523326227,,,,,,,,,,,55.062218,10.564656
